number,title,abstract,publication_date,document_number,type
1,"Thanksgiving Day, 2010",,2010-12-01,2010-30299,Presidential Document
2,"Critical Infrastructure Protection Month, 2010",,2010-12-03,2010-30581,Presidential Document
3,"Helsinki Human Rights Day, 2010",,2010-12-03,2010-30584,Presidential Document
4,"World AIDS Day, 2010",,2010-12-03,2010-30585,Presidential Document
5,"National Impaired Driving Prevention Month, 2010",,2010-12-07,2010-30802,Presidential Document
6,40th Anniversary of the Environmental Protection Agency,,2010-12-07,2010-30809,Presidential Document
7,Waiver of Restriction on Providing Funds to the Palestinian Authority,,2010-12-07,2010-30819,Presidential Document
8,"Fiscal Year 2011 Refugee Admissions Numbers and Authorizations of In-Country Refugee Status Pursuant to Sections 207 and 101(a)(42), Respectively, of the Immigration and Nationality Act, and Determination Pursuant to Section 2(b)(2) of the Migration and Refugee Assistance Act, as Amended",,2010-12-07,2010-30826,Presidential Document
9,Provision of U.S. Drug Interdiction Assistance to the Government of Brazil,,2010-12-07,2010-30827,Presidential Document
10,Presidential Determination With Respect To Section 404(c) of the Child Soldiers Prevention Act of 2008,,2010-12-07,2010-30828,Presidential Document
11,Presidential Determination on Sudan,,2010-12-07,2010-30831,Presidential Document
12,"International Day of Persons With Disabilities, 2010",,2010-12-08,2010-30998,Presidential Document
13,50th Anniversary of the Arctic National Wildlife Refuge,,2010-12-09,2010-31127,Presidential Document
14,"National Pearl Harbor Remembrance Day, 2010",,2010-12-09,2010-31128,Presidential Document
15,"National Influenza Vaccination Week, 2010",,2010-12-10,2010-31292,Presidential Document
16,"Human Rights Day, Bill of Rights Day, and Human Rights Week, 2010",,2010-12-14,2010-31566,Presidential Document
17,White House Council for Community Solutions,,2010-12-17,2010-31878,Presidential Document
18,"Wright Brothers Day, 2010",,2010-12-22,2010-32402,Presidential Document
19,Delegation of Certain Functions and Authorities,,2010-12-23,2010-32463,Presidential Document
20,"To Take Certain Actions Under the African Growth and Opportunity Act, and for Other Purposes",,2010-12-27,2010-32610,Presidential Document
